,type,Points,Name,url_fix,Name_clean,dob,weight,height,oneday,GC,TT,sprint,climber,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
165,Sprinter,8,Max Kanter,,Max-Kanter,25,68,1.76,425,425,32,834,334,56,438,86,153,17,148,25,51,,,,,,,,,,,,,,
166,Sprinter,8,Jonathan Milan,,Jonathan-Milan,22,84,1.94,58,58,72,228,118,93,153,27,11,22,,,,,,,,,,,,,,,,,
167,Sprinter,6, Vincenzo Albanese,,Vincenzo-Albanese,26,70,1.75,551,551,50,372,900,115,521,274,36,15,30,45,144,,,,,,,,,,,,,,
168,Sprinter,6,Davide Ballerini,,Davide-Ballerini,28,77,1.83,1441,1441,133,852,880,228,281,497,334,313,460,79,7,9,22,,,,,,,,,,,,
169,Sprinter,6,Davide Cimolai,,Davide-Cimolai,33,70,1.82,978,978,6,1322,1114,20,92,224,101,577,77,188,176,442,195,290,94,47,117,45,,,,,,,
170,Sprinter,6,Nicolas Dalla Valle,,Nicolas-Dalla-Valle,,,,,,,,,11,81,5,,7,7,,,,,,,,,,,,,,,,
171,Sprinter,6,David Dekker,,David-Dekker,25,80,1.90,137,137,73,334,47,43,10,120,70,24,,,,,,,,,,,,,,,,,
172,Sprinter,6,Filippo Fiorelli,,Filippo-Fiorelli,,,,,,,,,110,250,219,81,41,,,9,7,,,,,,,,,,,,,
173,Sprinter,6, Arne Marit,,Arne-Marit,24,72,1.85,445,445,3,375,100,27,98,330,8,25,5,,,,,,,,,,,,,,,,
174,Sprinter,6, Marius Mayrhofer,,Marius-Mayrhofer,22,70,1.82,265,265,78,70,152,260,7,39,2,2,,,,,,,,,,,,,,,,,
175,Sprinter,6, Andrea Vendrame,,Andrea-Vendrame,28,60,1.68,1419,1419,102,398,1760,190,315,332,435,639,171,182,62,19,,,,,,,,,,,,,
