,type,Points,Name,url_fix,Name_clean,dob,weight,height,oneday,GC,TT,sprint,climber,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
36,Unclassified,10, Filippo Ganna,,Filippo-Ganna,26,83,1.93,495,495,3978,108,524,672,482,686,797,390,120,30,53,17,,,,,,,,,,,,,
37,Unclassified,8,Magnus Cort,https://www.procyclingstats.com/rider/magnus-cort-nielsen,Magnus-Cort,30,68,1.83,1024,1024,696,1812,1884,212,440,625,216,203,629,579,563,189,294,126,1,,,,,,,,,,
38,Unclassified,8,Rohan Dennis,,Rohan-Dennis,32,72,1.82,50,50,6250,188,1786,92,231,390,452,773,1051,874,763,1011,586,329,261,10,65,5,,,,,,,
39,Unclassified,8,Thomas Gloag,,Thomas-Gloag,21,60,1.75,53,53,0,4,253,155,63,33,,,,,,,,,,,,,,,,,,,
40,Unclassified,8,Stefan Küng,,Stefan-Kung,29,83,1.93,2077,2077,4438,442,1260,400,1333,1072,628,826,399,621,254,353,159,27,,,,,,,,,,,
41,Unclassified,6,Edoardo Affini,,Edoardo-Affini,26,80,1.92,88,88,1209,162,60,40,154,284,43,268,45,7,,,,,,,,,,,,,,,
42,Unclassified,6,Giovanni Aleotti,,Giovanni-Aleotti,23,67,1.80,303,303,73,10,428,67,269,408,13,98,4,,,,,,,,,,,,,,,,
43,Unclassified,6,Bruno Armirail,,Bruno-Armirail,29,74,1.90,114,114,734,8,232,15,210,170,121,67,64,31,,,,10,,,,,,,,,,,
44,Unclassified,6,Samuele Battistella,,Samuele-Battistella,24,67,1.80,410,410,117,85,580,36,420,308,85,137,41,,,,,,,,,,,,,,,,
45,Unclassified,6,Alberto Bettiol,,Alberto-Bettiol,29,69,1.80,1857,1857,782,236,1814,117,575,281,409,679,65,353,542,86,23,22,,,,,,,,,,,
46,Unclassified,6,Niccolò Bonifazio,,Niccolo-Bonifazio,29,72,1.76,1549,1549,48,2296,850,53,119,325,217,551,298,304,370,526,476,12,,,,,,,,,,,
47,Unclassified,6,Sven Erik Bystrøm,,Sven-Erik-Bystrom,31,73,1.88,737,737,85,408,694,187,129,248,158,140,133,123,142,124,172,16,40,3,,,,,,,,,
48,Unclassified,6,Jonathan Klever Caicedo,,Jonathan-Klever-Caicedo,30,62,1.64,188,188,144,112,278,37,90,20,190,111,180,15,87,22,,,,,,,,,,,,,
49,Unclassified,6,Mattia Cattaneo,,Mattia-Cattaneo,32,67,1.84,680,680,1314,160,1588,31,82,769,178,411,210,539,65,10,68,19,67,79,2,,,,,,,,
50,Unclassified,6,Josef Černý,,Josef-Cerny,29,77,1.88,189,189,1430,378,374,83,153,194,363,111,221,247,24,8,18,27,8,,,,,,,,,,
51,Unclassified,6,Mikaël Cherel,,Mikael-Cherel,37,65,1.86,654,654,1,466,990,21,98,20,108,88,160,103,162,250,254,199,96,223,85,181,89,12,,,,,
52,Unclassified,6,Simon Clarke,,Simon-Clarke,36,63,1.75,2256,2256,134,1359,2434,242,393,236,294,704,241,177,206,249,318,257,572,314,87,101,104,140,101,11,,,
53,Unclassified,6,Nicola Conci,,Nicola-Conci,26,68,1.84,268,268,8,117,476,29,324,25,136,126,97,40,,,,,,,,,,,,,,,
54,Unclassified,6,Luca Covili,,Luca-Covili,26,58,1.80,48,48,6,4,282,39,161,69,7,34,3,18,2,,,,,,,,,,,,,,
55,Unclassified,6,Stefan De Bod,,Stefan-De-Bod,26,66,1.82,148,148,609,21,268,102,196,147,56,122,30,32,17,5,,,,,,,,,,,,,
56,Unclassified,6,Alessandro De Marchi,,Alessandro-De-Marchi,36,65,1.81,1023,1023,498,151,1871,27,101,401,144,145,421,213,207,200,323,202,128,57,12,8,19,,,,,,
57,Unclassified,6,Laurens De Plus,,Laurens-De-Plus,27,67,1.89,217,217,277,20,796,52,41,27,5,616,301,217,53,74,,,,,,,,,,,,,
58,Unclassified,6,Joe Dombrowski,,Joe-Dombrowski,31,68,1.85,65,65,224,62,1237,12,109,177,20,344,177,68,159,336,5,102,182,52,,,,,,,,,
59,Unclassified,6,Eddie Dunbar,https://www.procyclingstats.com/rider/edward-irl-dunbar,Eddie-Dunbar,26,57,1.70,306,306,151,92,691,87,269,134,195,414,230,90,39,22,,,,,,,,,,,,,
60,Unclassified,6,Davide Gabburo,,Davide-Gabburo,30,63,1.72,393,393,10,111,514,58,188,119,79,199,36,2,,22,,,,,,,,,,,,,
61,Unclassified,6,Francesco Gavazzi,,Francesco-Gavazzi,38,65,1.71,2988,2988,43,2044,2909,16,64,85,24,177,388,584,655,357,305,329,567,462,654,736,285,111,97,,7,,
62,Unclassified,6,Ryan Gibbons,,Ryan-Gibbons,28,70,1.81,697,697,327,690,838,32,140,369,101,465,142,365,43,8,,12,,,,,,,,,,,
63,Unclassified,6,Thibault Guernalec,,Thibault-Guernalec,25,71,1.85,46,46,553,28,97,25,112,97,90,61,,3,,,,,,,,,,,,,,,
64,Unclassified,6,Ben Healy,,Ben-Healy,22,65,1.75,567,567,190,20,351,637,93,8,22,5,,,,,,,,,,,,,,,,,
65,Unclassified,6,Michael Hepburn,,Michael-Hepburn,31,77,1.86,195,195,1555,118,80,59,60,38,27,139,140,118,75,149,201,83,5,71,33,,,,,,,,
66,Unclassified,6,Michel Hessmann,,Michel-Hessmann,22,78,1.90,27,27,45,11,41,20,51,18,2,,,,,,,,,,,,,,,,,,
67,Unclassified,6,Jonathan Lastra,,Jonathan-Lastra,29,64,1.72,369,369,11,118,858,25,281,333,32,242,159,86,46,6,,,,,,,,,,,,,
68,Unclassified,6,Andreas Leknessund,,Andreas-Leknessund,23,72,1.85,156,156,382,2,461,63,511,152,183,107,20,,,,,,,,,,,,,,,,
69,Unclassified,6,Rudy Molard,,Rudy-Molard,33,62,1.78,1225,1225,160,397,2001,140,389,160,347,397,506,204,163,398,222,84,45,12,,,,,,,,,
70,Unclassified,6,Gianni Moscon,,Gianni-Moscon,29,70,1.82,1857,1857,606,320,1355,5,59,521,70,418,1007,734,459,87,28,,,,,,,,,,,,
71,Unclassified,6,Henok Mulubrhan,,Henok-Mulubrhan,23,60,1.76,287,287,61,232,324,306,173,43,92,71,81,,,,,,,,,,,,,,,,
72,Unclassified,6,Stefano Oldani,,Stefano-Oldani,25,65,1.78,408,408,36,164,638,5,438,242,78,62,2,1,,,,,,,,,,,,,,,
73,Unclassified,6,Sam Oomen,,Sam-Oomen,27,65,1.77,433,433,197,96,1590,24,194,237,160,193,749,548,294,148,29,,,,,,,,,,,,
74,Unclassified,6,Aurélien Paret-Peintre,,Aurelien-Paret-Peintre,27,64,1.84,564,564,103,56,1018,236,219,674,264,201,45,19,,17,,,,,,,,,,,,,
75,Unclassified,6,Andrea Pasqualon,,Andrea-Pasqualon,35,68,1.74,2724,2724,74,2442,1376,142,414,459,358,514,805,368,298,311,204,96,37,67,30,12,,,,,,,
76,Unclassified,6,Matthew Riccitello,,Matthew-Riccitello,21,55,1.72,0,0,4,8,82,99,28,,,,,,,,,,,,,,,,,,,,
77,Unclassified,6,Oscar Riesebeek,,Oscar-Riesebeek,30,78,1.91,573,573,108,350,275,20,198,213,59,187,237,104,24,40,,12,,,,,,,,,,,
78,Unclassified,6,Rémy Rochas,,Remy-Rochas,26,51,1.64,179,179,65,26,370,10,168,248,58,39,50,6,8,6,,,,,,,,,,,,,
79,Unclassified,6,José Joaquín Rojas,,Jose-Joaquin-Rojas,37,70,1.77,2955,2955,129,4518,3624,69,84,108,81,282,163,447,167,498,478,638,377,1293,900,688,995,605,147,34,,,
80,Unclassified,6,Lorenzo Rota,,Lorenzo-Rota,27,62,1.73,1303,1303,12,139,1343,299,818,470,203,131,78,97,35,29,4,,,,,,,,,,,,
81,Unclassified,6,Luis León Sánchez,,Luis-Leon-Sanchez,39,73,1.86,1842,1842,2925,1529,4704,45,411,290,127,799,807,545,572,388,461,276,1023,427,1718,1039,575,465,405,393,122,,
82,Unclassified,6,Kristian Sbaragli,,Kristian-Sbaragli,32,74,1.75,1754,1754,0,1512,1367,10,95,254,85,368,244,201,412,632,373,133,58,4,,,,,,,,,
83,Unclassified,6,Christian Scaroni,,Christian-Scaroni,25,63,1.75,231,231,3,20,360,69,148,66,10,20,40,,,,,,,,,,,,,,,,
84,Unclassified,6,Toms Skujiņš,,Toms-Skujins,31,70,1.78,1622,1622,254,695,1193,79,392,337,137,420,549,175,119,170,68,154,21,67,124,,,,,,,,
85,Unclassified,6,Jake Stewart,,Jake-Stewart,23,66,1.79,396,396,28,179,339,33,379,282,120,29,21,,,,,,,,,,,,,,,,
86,Unclassified,6,Ben Swift,,Ben-Swift,35,69,1.79,1848,1848,87,2754,1640,37,112,108,236,209,48,400,621,357,745,141,415,516,204,283,83,39,,,,,
87,Unclassified,6,Natnael Tesfatsion,,Natnael-Tesfatsion,23,60,1.75,331,331,5,192,696,176,455,121,234,28,37,,,,,,,,,,,,,,,,
88,Unclassified,6,Alessandro Tonelli,,Alessandro-Tonelli,30,64,1.76,179,179,8,80,254,85,116,27,36,10,92,5,32,5,,4,4,,,,,,,,,,
89,Unclassified,6,Simone Velasco,,Simone-Velasco,27,59,1.70,1035,1035,12,117,942,91,206,343,105,407,194,43,22,62,10,,,,,,,,,,,,
90,Unclassified,6,Louis Vervaeke,,Louis-Vervaeke,29,68,1.81,318,318,173,28,422,90,78,112,102,40,43,118,111,27,96,25,,,,,,,,,,,
91,Unclassified,6,Edoardo Zambanini,,Edoardo-Zambanini,22,62,1.80,93,93,0,29,186,12,183,11,1,,,,,,,,,,,,,,,,,,
92,Unclassified,6, Filippo Zana,,Filippo-Zana,24,65,1.85,161,161,1,13,442,51,335,290,34,52,4,,,,,,,,,,,,,,,,
93,Unclassified,4, Yukiya Arashiro,,Yukiya-Arashiro,38,64,1.70,1369,1369,142,1118,628,5,92,85,54,61,189,172,206,212,155,189,249,284,301,179,203,151,80,2,,,
94,Unclassified,4,Davide Bais,,Davide-Bais,25,66,1.85,67,67,22,8,85,8,100,10,3,20,3,,,,,,,,,,,,,,,,
95,Unclassified,4,Mattia Bais,,Mattia-Bais,26,66,1.75,118,118,20,72,151,10,50,85,34,82,20,7,,,,,,,,,,,,,,,
96,Unclassified,4,Will Barta,https://www.procyclingstats.com/rider/william-barta,Will-Barta,27,61,1.80,44,44,505,16,242,124,62,15,144,33,34,9,,3,,,,,,,,,,,,,
97,Unclassified,4,Alex Baudin,,Alex-Baudin,21,66,1.83,44,44,29,4,64,38,73,,,,,,,,,,,,,,,,,,,,
98,Unclassified,4,Cesare Benedetti,,Cesare-Benedetti,35,63,1.70,396,396,1,198,354,5,66,95,46,169,120,71,123,79,102,37,71,51,,20,,7,,,,,
99,Unclassified,4,Sebastian Berwick,,Sebastian-Berwick,23,59,1.75,16,16,5,7,136,55,63,26,89,25,,,,,,,,,,,,,,,,,
100,Unclassified,4,François Bidard,,Francois-Bidard,31,65,1.80,95,95,6,30,332,5,11,12,27,172,106,58,36,15,15,3,,,,,,,,,,,
101,Unclassified,4,Maxime Bouet ,,Maxime-Bouet,36,67,1.84,727,727,397,732,1122,,140,124,9,30,91,211,155,195,147,346,278,246,316,369,61,11,,,,,
102,Unclassified,4,Thomas Champion,,Thomas-Champion,23,70,1.93,20,20,16,0,27,5,35,30,17,,,,,,,,,,,,,,,,,,
103,Unclassified,4,Valerio Conti,,Valerio-Conti,30,61,1.72,533,533,258,122,1144,25,15,130,130,393,181,241,165,131,223,9,,,,,,,,,,,
104,Unclassified,4,Alexandre Delettre,,Alexandre-Delettre,25,62,1.70,130,130,0,1,83,10,47,111,,35,,,,,,,,,,,,,,,,,
105,Unclassified,4,Nico Denz,,Nico-Denz,29,71,1.83,385,385,246,184,325,33,90,75,173,117,267,25,61,14,,,,,,,,,,,,,
